review,subtheme_1,subtheme_2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,cleaned_review,subthemes,subtheme_sentiments
The product and service from [REDACTED] was perfect however the garage experience was not. Their customer service is poor.,garage service negative,,,,,,,,,,,,,,product service [ redacted ] perfect however garage experience . customer service poor .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Ordering is simple. Prices are competitive. Fitting is completed on time.,length of fitting positive,value for money positive,,,,,,,,,,,,,ordering simple . price competitive . fitting completed time .,[],[]
"bad experience with booking being cancelled at 4.30 the day before, i went to the garage any way and the tyre was there and fitted promptly.",late notice negative,wait time positive,,,,,,,,,,,,,"bad experience booking cancelled 4.30 day , went garage way tyre fitted promptly .","[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'negative'), ('Ease of booking', 'aspect', 'negative')]"
"Stress free and simple process. simple process. Chose my tyres, chose my garage, chose my time, turned up, all of my tyres were there ready and were fitted in less than an hour. Incredibly stress free experience and a great price too. Highly recommended.",length of fitting positive,ease of booking positive,value for money positive,,,,,,,,,,,,"stress free simple process . simple process . chose tyre , chose garage , chose time , turned , tyre ready fitted le hour . incredibly stress free experience great price . highly recommended .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
My fitting date kept changing and then the garage didn't know I was coming so I had to go back home and return an hour later.,change of date negative,,,,,,,,,,,,,,fitting date kept changing garage n't know coming go back home return hour later .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'neutral')]"
"It was such an efficient service, easy to find a local garage who looked after me very well",garage service positive,location positive,,,,,,,,,,,,,"efficient service , easy find local garage looked well","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
The date i booked was cancelled due to tyres not delivered then it took me various phone calls and no response until i booked a time directly with the fitters,delivery punctuality negative,advisoragent service negative,change of date negative,,,,,,,,,,,,date booked cancelled due tyre delivered took various phone call response booked time directly fitter,"[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'negative')]"
1) Easy to order. 2) Carmarthen Tyre Services service was excellent. Booked time and it went like clockwork,garage service positive,ease of booking positive,,,,,,,,,,,,,1 ) easy order . 2 ) carmarthen tyre service service excellent . booked time went like clockwork,"[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'positive'), ('Ease of booking', 'aspect', 'positive')]"
The tyres were not delivered to the garage when we got there so after speaking to customer services they apologised and offered 10% discount and we had to book the car in for another day but 2 weeks has passed and still no refund.,discounts positive,refund timescale negative,delivery punctuality negative,,,,,,,,,,,,tyre delivered garage got speaking customer service apologised offered 10 % discount book car another day 2 week passed still refund .,"[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'negative'), ('Ease of booking', 'aspect', 'negative')]"
Great price. Easy to arrange and no problems at ATS who were great.,ease of booking positive,garage service positive,value for money positive,,,,,,,,,,,,great price . easy arrange problem at great .,[],[]
"This is an excellent service, very easy to use website, secure payment options such as PayPal, good selection of tyres and plenty of options for fitting tyres at local garages. Quick easy to use and very price competitive.. Recommended",location positive,ease of booking positive,value for money positive,,,,,,,,,,,,"excellent service , easy use website , secure payment option paypal , good selection tyre plenty option fitting tyre local garage . quick easy use price competitive .. recommended","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
I book a time through [REDACTED] and when I get to the fitting centre they don’t have the time available,ease of booking negative,,,,,,,,,,,,,,book time [ redacted ] get fitting centre ’ time available,"[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'neutral')]"
Simple ordering with wide range of tyres at competitive prices. Easy booking and fitting process.,ease of booking positive,value for money positive,,,,,,,,,,,,,simple ordering wide range tyre competitive price . easy booking fitting process .,"[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'positive')]"
Got decent tyres at a good price and fitted a garage of choice good experience,value for money positive,tyre quality positive,,,,,,,,,,,,,got decent tyre good price fitted garage choice good experience,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
good prices appointments and prompt service,value for money positive,,,,,,,,,,,,,,good price appointment prompt service,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Poor afftersales and customer service. Made a complaint never heard a response,response time negative,advisoragent service negative,,,,,,,,,,,,,poor afftersales customer service . made complaint never heard response,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'negative')]"
Michelin tyre on offer. Super easy booking system. No hassle. Garage literally down the road. Very convenient speedy service. Super,garage service positive,ease of booking positive,location positive,length of fitting positive,,,,,,,,,,,michelin tyre offer . super easy booking system . hassle . garage literally road . convenient speedy service . super,"[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'positive'), ('Ease of booking', 'aspect', 'positive')]"
"Original appointment had to be rearranged at request of BC to a date 5 days later. Then for the new appointment arrived at the garage and they initially had no record of the booking, they eventually found it but we had to go away and return an hour and a half later. To top it all off a couple of days before the rearranged appointment I got an email from BC to say that there was a promo of 10% off the very same tyres I had already paid for but not had fitted!",booking confusion negative,change of date negative,,,,,,,,,,,,,"original appointment rearranged request bc date 5 day later . new appointment arrived garage initially record booking , eventually found go away return hour half later . top couple day rearranged appointment got email bc say promo 10 % tyre already paid fitted !","[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'positive'), ('Ease of booking', 'aspect', 'positive')]"
"Really efficient service. Called me promptly when I had ordered the wrong tyre for my car to give advice and rectify the type of tyre I should have been ordering approved by the manufacturers of my vehicle. Fast fitting, really happy experience.",length of fitting positive,advisoragent service positive,,,,,,,,,,,,,"really efficient service . called promptly ordered wrong tyre car give advice rectify type tyre ordering approved manufacturer vehicle . fast fitting , really happy experience .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Superb service. Highly recommend. Offer on a great michelin tyre. Really easy to book online and pay all online which makes it hassle free and the garage is down the road. Convenient and impressive! Thanks,ease of booking positive,garage service positive,,,,,,,,,,,,,superb service . highly recommend . offer great michelin tyre . really easy book online pay online make hassle free garage road . convenient impressive ! thanks,"[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'positive'), ('Ease of booking', 'aspect', 'positive')]"
"Customer service is second to none , excellent prices",advisoragent service negative,value for money positive,,,,,,,,,,,,,"customer service second none , excellent price","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'negative')]"
Apprehensive at first to use this 'unknown' supplier but worked out really well.[REDACTED] provide the chosen tyre to your chosen fitter usually at a cheaper price than your fitter can provide. They deliver to your chosen fitter and the fitter's profit is from charging [REDACTED] a fitting fee.My experience went really well and I saves significantly on two tyres for my wife's car.,value for money positive,,,,,,,,,,,,,,apprehensive first use 'unknown ' supplier worked really well . [ redacted ] provide chosen tyre chosen fitter usually cheaper price fitter provide . deliver chosen fitter fitter 's profit charging [ redacted ] fitting fee.my experience went really well save significantly two tyre wife 's car .,[],[]
Very helpful didn't have the tyres in stock so gave me better tyres at same price. Thank you [REDACTED],value for money positive,,,,,,,,,,,,,,helpful n't tyre stock gave better tyre price . thank [ redacted ],[],[]
Fitting garage altered time and ran over by 50 minutes,length of fitting negative,garage service negative,change of time negative,,,,,,,,,,,,fitting garage altered time ran 50 minute,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'neutral')]"
Worth the money. Very easy to use good communication,value for money positive,,,,,,,,,,,,,,worth money . easy use good communication,[],[]
Good Service. Have used [REDACTED] a few times. Never had any problems. Prices reasonable. Get them delivered to my local garage for fitting. Always a smooth and hassle free service.,value for money positive,location positive,,,,,,,,,,,,,good service . used [ redacted ] time . never problem . price reasonable . get delivered local garage fitting . always smooth hassle free service .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"It's alright, not the best price, had to wait for few extra days until tyres delivered to the garage, also had to wait 2.5 hours in the garage until job done, as they had also replace some part in the car as per usual. Garages just can't let you go without taking extra from you. Good quality tyres supplied. I have decided to go for Michelin Sport 3, I have used cheaper brands before but they didn't lasted long, will see how long these tyres will last.",value for money positive,tyre quality positive,,,,,,,,,,,,,"'s alright , best price , wait extra day tyre delivered garage , also wait 2.5 hour garage job done , also replace part car per usual . garage ca n't let go without taking extra . good quality tyre supplied . decided go michelin sport 3 , used cheaper brand n't lasted long , see long tyre last .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Easy to order, great service at the fitting centre - good job - will be using [REDACTED] again",garage service positive,,,,,,,,,,,,,,"easy order , great service fitting centre - good job - using [ redacted ]","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Used many times now. Always a good price and good service. Fitting garages are also very good.,value for money positive,garage service positive,,,,,,,,,,,,,used many time . always good price good service . fitting garage also good .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
The garage in Woldingham did a great job fitting the tyres and [REDACTED] offer competitive prices.,garage service positive,value for money positive,,,,,,,,,,,,,garage woldingham great job fitting tyre [ redacted ] offer competitive price .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Good price, prompt and efficient servive from fitter.",value for money positive,length of fitting positive,,,,,,,,,,,,,"good price , prompt efficient servive fitter .",[],[]
"Great, quick and easy to navigate the system, lots of choices and fantastic financial options! From start to finish the process was painless!",ease of booking positive,,,,,,,,,,,,,,"great , quick easy navigate system , lot choice fantastic financial option ! start finish process painless !",[],[]
Easy to use and able to compare prices quickly and easily,value for money positive,,,,,,,,,,,,,,easy use able compare price quickly easily,[],[]
Not cheap,value for money negative,,,,,,,,,,,,,,cheap,[],[]
On arrival my standard model vehicle was declared too large to fit [REDACTED] lifting equipment. Wasted my time. Had to take 4 tyres and travel miles to get them fitted at another [REDACTED] partner. I should have been refused or redirected at point of order. The partner was polite hence 2.,garage service negative,,,,,,,,,,,,,,arrival standard model vehicle declared large fit [ redacted ] lifting equipment . wasted time . take 4 tyre travel mile get fitted another [ redacted ] partner . refused redirected point order . partner polite hence 2 .,[],[]
Excellent communication throughout as there was a problem with delivering my tyre. Garage were fabulous too.,garage service positive,,,,,,,,,,,,,,excellent communication throughout problem delivering tyre . garage fabulous .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Never had any problems with my order or the delivery and fitting. Prices are reasonable.,delivery punctuality positive,value for money positive,,,,,,,,,,,,,never problem order delivery fitting . price reasonable .,[],[]
Cheapest tyres around with local fitting.What more can you want?,value for money positive,location positive,,,,,,,,,,,,,cheapest tyre around local fitting.what want ?,[],[]
Best price. Great service to fit. In and out in 10 minutes,length of fitting positive,garage service positive,value for money positive,,,,,,,,,,,,best price . great service fit . 10 minute,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Easy access - good price - easy to book.,value for money positive,ease of booking positive,,,,,,,,,,,,,easy access - good price - easy book .,"[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'positive')]"
New tyres on wire wheels. All went smoothly and the wheels On my car are wires and I had to take them back for rebalancing this morning and there was no problem in redoing them and no quibbles eitherVery happy now and recommend this branch,garage service positive,,,,,,,,,,,,,,new tyre wire wheel . went smoothly wheel car wire take back rebalancing morning problem redoing quibble eithervery happy recommend branch,[],[]
Great value and choice of local fitters.,location positive,value for money positive,,,,,,,,,,,,,great value choice local fitter .,[],[]
"Great site, easy to use, good prices",value for money positive,,,,,,,,,,,,,,"great site , easy use , good price",[],[]
A good service no time to waste done by bathwick very professional,garage service positive,,,,,,,,,,,,,,good service time waste done bathwick professional,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'negative')]"
The services was easy to use from start to finish and the tyres were fitted at exactly the time requested. Very easy and pleasant experience.,garage service positive,ease of booking positive,,,,,,,,,,,,,service easy use start finish tyre fitted exactly time requested . easy pleasant experience .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Very reliable and prices are very good,value for money positive,,,,,,,,,,,,,,reliable price good,[],[]
Straight forward and great value,value for money positive,,,,,,,,,,,,,,straight forward great value,[],[]
"good price, local garage and good service",value for money positive,location positive,,,,,,,,,,,,,"good price , local garage good service","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Super price and service,value for money positive,,,,,,,,,,,,,,super price service,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"All as it should be. Tyres fitted on time , excellent service",wait time positive,,,,,,,,,,,,,,". tyre fitted time , excellent service","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
The selected garage (ats Dundee) marked the alloys around the bolt holes and refused to fix. Done a pre-job walk around with tick sheet and they changed it after the job was carried out. Unprofessional and unhelpful,garage service negative,damage negative,,,,,,,,,,,,,selected garage ( at dundee ) marked alloy around bolt hole refused fix . done pre-job walk around tick sheet changed job carried . unprofessional unhelpful,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'negative')]"
The process from start to finish was excellent and easy to use. The garage that completed the fitting were also excellent.,garage service positive,,,,,,,,,,,,,,process start finish excellent easy use . garage completed fitting also excellent .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
good transaction. Easy to use website and really good service from chosen fitting centre,ease of booking positive,garage service positive,,,,,,,,,,,,,good transaction . easy use website really good service chosen fitting centre,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Easy to use website competative prices. Range of installation venues with opening times and addresses. Very convenient and reliable. I always use [REDACTED] for new tyres.,ease of booking positive,value for money positive,,,,,,,,,,,,,easy use website competative price . range installation venue opening time address . convenient reliable . always use [ redacted ] new tyre .,[],[]
Good prices and easy transaction. Good price. Smooth transaction. Garage was good too.,value for money positive,garage service positive,,,,,,,,,,,,,good price easy transaction . good price . smooth transaction . garage good .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Great job from a very friendly fitter. Fantastic service, in & out within 25 mins. 😁",garage service positive,length of fitting positive,,,,,,,,,,,,,"great job friendly fitter . fantastic service , & within 25 min . 😁","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Good price with quick and convenient service.,value for money positive,,,,,,,,,,,,,,good price quick convenient service .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Great price Great service Thanks,value for money positive,,,,,,,,,,,,,,great price great service thanks,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Great service no issues. We used the mobile fitting service and it was great.,mobile fitter positive,,,,,,,,,,,,,,great service issue . used mobile fitting service great .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Ease of ordering,local tyre stockists",value for money positive,location positive,,,,,,,,,,,,,"ease ordering , local tyre stockist",[],[]
"Excellent service, competitive pricing.",value for money positive,,,,,,,,,,,,,,"excellent service , competitive pricing .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Simple, straight forward and easy to pick what you want for your budget.",value for money positive,,,,,,,,,,,,,,"simple , straight forward easy pick want budget .",[],[]
Fab customer service,advisoragent service positive,,,,,,,,,,,,,,fab customer service,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
it was perfect - everything selected and paid online + the tyre exchange was fast and perfectly in time!!,garage service positive,ease of booking positive,,,,,,,,,,,,,perfect - everything selected paid online + tyre exchange fast perfectly time ! !,[],[]
Good for the money and with an amazing people to fit it highly recommend you and the place again,value for money positive,garage service positive,,,,,,,,,,,,,good money amazing people fit highly recommend place,[],[]
"Good tyre selection, great price easy service.",value for money positive,,,,,,,,,,,,,,"good tyre selection , great price easy service .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Great service and price,value for money positive,,,,,,,,,,,,,,great service price,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
vast choice of tyres for every budget . Many available times from Local garages to take your vehicle to.,location positive,value for money positive,,,,,,,,,,,,,vast choice tyre every budget . many available time local garage take vehicle .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'neutral')]"
Good Choice at reasonable prices,value for money positive,,,,,,,,,,,,,,good choice reasonable price,[],[]
Happened when it was supposed to and Dreadnought garage were extremely helpful.,garage service positive,wait time positive,,,,,,,,,,,,,happened supposed dreadnought garage extremely helpful .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Quick, easy, great prices and at a time that suits.",value for money positive,,,,,,,,,,,,,,"quick , easy , great price time suit .",[],[]
Good price and simple to book a suitable time and place for fitting,ease of booking positive,value for money positive,,,,,,,,,,,,,good price simple book suitable time place fitting,"[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'positive')]"
Looked online and found [REDACTED] has very competitive pricing so booked the fitting. It was nice to be able to choose the garage to get the job done and I picked the [REDACTED] Pitstop next to Tesco. They were ready and waiting when I turned up so I left them to it and went and done the weekly shop. Just as I was paying for my shopping I had a call to say all 4 tyres had been changed and the car was ready for collection. I found the whole experience very convenient and it couldn't have gone smoother.,value for money positive,,,,,,,,,,,,,,looked online found [ redacted ] competitive pricing booked fitting . nice able choose garage get job done picked [ redacted ] pitstop next tesco . ready waiting turned left went done weekly shop . paying shopping call say 4 tyre changed car ready collection . found whole experience convenient could n't gone smoother .,"[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'positive'), ('Ease of booking', 'aspect', 'positive')]"
Reasonably priced tyres and easy online booking.,value for money positive,ease of booking positive,,,,,,,,,,,,,reasonably priced tyre easy online booking .,"[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'positive')]"
Local Kingsway Garage used helpful. Choice of am or pm but had not realised 8:30 time given was intended as an appointment slot.Did front wheel tracking as well and paid separately as advised. happy to use again.,ease of booking positive,garage service positive,,,,,,,,,,,,,local kingsway garage used helpful . choice pm realised 8:30 time given intended appointment slot.did front wheel tracking well paid separately advised . happy use .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
highly recommended. excellent service and accommodating re collection and delivery too,delivery punctuality positive,,,,,,,,,,,,,,highly recommended . excellent service accommodating collection delivery,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Very easy to order and book a time slot for fitment.Kept informed about the order at all times.Very good service from the garage.Excellent.,ease of booking positive,,,,,,,,,,,,,,easy order book time slot fitment.kept informed order times.very good service garage.excellent .,"[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'positive'), ('Ease of booking', 'aspect', 'positive')]"
"Prompt and efficient service. Great choice of tyre options, priced very competitively. Effortless purchase and fitting.",value for money positive,,,,,,,,,,,,,,"prompt efficient service . great choice tyre option , priced competitively . effortless purchase fitting .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Easy to order, good price and choice of fitting locations",location positive,value for money positive,,,,,,,,,,,,,"easy order , good price choice fitting location",[],[]
Would never use [REDACTED] again. Not at all impressed with the service. After making an initial on line purchase and choosing an appropriate time for fitting all seemed well. A couple of days later I was informed that the tyres were not available for delivery in time for the allocated time at the garage.I chose an alternate fitting time for 9:30am the following week. When I arrived at the garage they informed me that the time allotted was at 11am. When I showed the staff my allocated time they informed me that they had declined the time slot and [REDACTED] should have notified me.Had I not needed the replacement tyres fitting immediately for a planned trip to France I would have cancelled on looked elsewhere.The service was appalling.,delivery punctuality negative,wait time negative,,,,,,,,,,,,,would never use [ redacted ] . impressed service . making initial line purchase choosing appropriate time fitting seemed well . couple day later informed tyre available delivery time allocated time garage.i chose alternate fitting time 9:30am following week . arrived garage informed time allotted 11am . showed staff allocated time informed declined time slot [ redacted ] notified me.had needed replacement tyre fitting immediately planned trip france would cancelled looked elsewhere.the service appalling .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'negative')]"
Best price and convenient. Cheapest priced yet still reasonable brand for truck tyres.Delivered to a conveniently located garage within 48 hours.,location positive,delivery punctuality positive,value for money positive,,,,,,,,,,,,best price convenient . cheapest priced yet still reasonable brand truck tyres.delivered conveniently located garage within 48 hour .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"First Rate. Great choice, great prices and an excellent local fitter",location positive,value for money positive,garage service positive,,,,,,,,,,,,"first rate . great choice , great price excellent local fitter",[],[]
Would certainly my use them again. Very easy to use from Start to finish. Very helpful telephone operator when I had to change tyre fitting slot as ats couldn’t do it the day I first picked.,garage service positive,advisoragent service positive,,,,,,,,,,,,,would certainly use . easy use start finish . helpful telephone operator change tyre fitting slot at ’ day first picked .,[],[]
One cannot guarantee the age of Tyre. we had from December 18 . The receptionist at Tyre center should not decide weather you are given the free wheel alignment check?,tyre agedot code negative,garage service negative,,,,,,,,,,,,,one guarantee age tyre . december 18 . receptionist tyre center decide weather given free wheel alignment check ?,[],[]
Poor quality tyre fitting. Scratches to alloy wheels. Inconsistent pressure applied to tyres.,garage service negative,damage negative,,,,,,,,,,,,,poor quality tyre fitting . scratch alloy wheel . inconsistent pressure applied tyre .,[],[]
Website was very easy to use and the prices can not be beaten. Fast delivery and the fitting could not have been easier to arrange,ease of booking positive,value for money positive,delivery punctuality positive,,,,,,,,,,,,website easy use price beaten . fast delivery fitting could easier arrange,[],[]
Had to wait 3 hours at the garage. They prioritised customers that had smaller jobs over mine even if the customer comes after me.,wait time negative,,,,,,,,,,,,,,wait 3 hour garage . prioritised customer smaller job mine even customer come .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'neutral')]"
"Poor. Ordered 2 x Tyres to be fitted locally, money debited from my account immediately. The following day I check in with BC to be told that they can't actually fit my tyres for when I have booked (and paid) for. Advised to call them to arrange a later date, which is not possible for me. Call the number to arrange having my money refunded but it's a very drawn out experience. Staff on the other end of the phone, however, are very helpful. Have booked elsewhere which is marginally more expensive, but would have saved me hours of messing around and not left me out of pocket while they hang on to my money.",change of date negative,advisoragent service positive,refund negative,,,,,,,,,,,,"poor . ordered 2 x tyre fitted locally , money debited account immediately . following day check bc told ca n't actually fit tyre booked ( paid ) . advised call arrange later date , possible . call number arrange money refunded 's drawn experience . staff end phone , however , helpful . booked elsewhere marginally expensive , would saved hour messing around left pocket hang money .","[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'positive')]"
A couple of points deducted due to your having to re-arrange a fitting date (a week later than originally set) following failure of delivery of tyres,change of date negative,delivery punctuality negative,,,,,,,,,,,,,couple point deducted due re-arrange fitting date ( week later originally set ) following failure delivery tyre,[],[]
Very easy to book. Staff were friendly and got the job done quickly. I will definitely use [REDACTED] again.,ease of booking positive,length of fitting positive,,,,,,,,,,,,,easy book . staff friendly got job done quickly . definitely use [ redacted ] .,"[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'positive')]"
Excellent price and all arrangements for fitting were made with my local garage - hassle free,garage service positive,location positive,value for money positive,,,,,,,,,,,,excellent price arrangement fitting made local garage - hassle free,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
I found the service very easy to use. I located the tyre size / type I required quickly & arrange fitting at a local centre.,ease of booking positive,location positive,,,,,,,,,,,,,found service easy use . located tyre size / type required quickly & arrange fitting local centre .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
I got tyres at an excellent price and fitting at a convenient local garage. Easy to book and no problems.,location positive,value for money positive,ease of booking positive,,,,,,,,,,,,got tyre excellent price fitting convenient local garage . easy book problem .,"[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'positive'), ('Ease of booking', 'aspect', 'positive')]"
Excellent service best price on the internet plus you get to chose what garage you would like goods to be fitted,value for money positive,,,,,,,,,,,,,,excellent service best price internet plus get chose garage would like good fitted,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Easy Ordering and sorting system, no hassle delivery. and a first class service at the fitting station I chose",ease of booking positive,delivery punctuality positive,,,,,,,,,,,,,"easy ordering sorting system , hassle delivery . first class service fitting station chose","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Easy to use and the best price.,value for money positive,,,,,,,,,,,,,,easy use best price .,[],[]
Great service. Delivered on time as always . Staff at Cumnock McConecheys excellent as usual.,delivery punctuality positive,garage service positive,,,,,,,,,,,,,great service . delivered time always . staff cumnock mcconecheys excellent usual .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Great value, easy to order and get fitted. Repeat customer.",value for money positive,,,,,,,,,,,,,,"great value , easy order get fitted . repeat customer .",[],[]
This is the third time I've used [REDACTED] a good price for tyres and I've found through ATS a good service.,value for money positive,,,,,,,,,,,,,,third time 've used [ redacted ] good price tyre 've found at good service .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Very good tyres would use again but not the recommended garage. Very good tyres would use again but not there recommended garage mr tyre who messed up all the tracking telling me it needed doing and after 3 hours and 6 separate adjustments and left with a steering wheel down to the left and pulling I went to garage down the road called Euro fit who got it right and fixed it mr tyre left it way out and needless to say although the manager Alex said he would do it and was not unhelpful they need to source better training on tracking will avoid in the future sorry.,tyre quality positive,garage service negative,,,,,,,,,,,,,good tyre would use recommended garage . good tyre would use recommended garage mr tyre messed tracking telling needed 3 hour 6 separate adjustment left steering wheel left pulling went garage road called euro fit got right fixed mr tyre left way needle say although manager alex said would unhelpful need source better training tracking avoid future sorry .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"great prices , good selection of tyres , quick fitting date and good local fitter",location positive,value for money positive,length of fitting positive,,,,,,,,,,,,"great price , good selection tyre , quick fitting date good local fitter",[],[]
easy and excellent value,value for money positive,,,,,,,,,,,,,,easy excellent value,[],[]
"My tyres were delivered fitted by theCross Garage. My tyres were delivered & fitted by the garage I chose, promptly & efficiently . Highly recommend",delivery punctuality positive,garage service positive,length of fitting positive,,,,,,,,,,,,"tyre delivered fitted thecross garage . tyre delivered & fitted garage chose , promptly & efficiently . highly recommend","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Easy, no nonsense, set up. Good choice of tyres at a reasonable cost including fitting at a local garage. Good communication.",location positive,value for money positive,,,,,,,,,,,,,"easy , nonsense , set . good choice tyre reasonable cost including fitting local garage . good communication .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Efficient way of getting a tyre . Wanted a tyre, ordered it to my local garage. Job done.",location positive,,,,,,,,,,,,,,"efficient way getting tyre . wanted tyre , ordered local garage . job done .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Turned up at garage ,mechanic new I was coming ,was polite and cheery( mc connachies East Kilbride ) fitted tyres no fuss drove away",garage service positive,,,,,,,,,,,,,,"turned garage , mechanic new coming , polite cheery ( mc connachies east kilbride ) fitted tyre fuss drove away","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
All good and very good prices 😀,value for money positive,,,,,,,,,,,,,,good good price 😀,[],[]
"Prompt service and competitive prices, convenient locations. Would use again.",value for money positive,location positive,,,,,,,,,,,,,"prompt service competitive price , convenient location . would use .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
I got a great price and it was easy to sort out.,value for money positive,,,,,,,,,,,,,,got great price easy sort .,[],[]
"Good price, convenient fitting. What's not to like.",value for money positive,,,,,,,,,,,,,,"good price , convenient fitting . 's like .",[],[]
Very easy from start to finish,ease of booking positive,,,,,,,,,,,,,,easy start finish,[],[]
"Huge product range, great prices, very good service. What more do you want? And the fitting service from Direct Tyres in Stockport was brilliant. Will definitely use again. Ian Casson",garage service positive,value for money positive,,,,,,,,,,,,,"huge product range , great price , good service . want ? fitting service direct tyre stockport brilliant . definitely use . ian casson","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
